n°, Business enterprise,  State concerned
1., Airbnb Inc., United States of America
2., American Israeli Gas Corporation Inc., Israel
3., Amir Marketing and Investment in Agriculture Inc., Israel
4., Amos Hadar Properties and Investments Ltd., Israel
5., Angel Bakeries, Israel
6., Archivists Ltd., Israel
7., Ariel Properties Group, Israel
8., Ashtrom Industries Ltd., Israel
9., Bank Hapoalim B.M., Israel
10., Bank Leumi Le-Israel B. M., Israel
11., Bank of Jerusalem Ltd., Israel
12., Beit Haarchiv Ltd., Israel
13., Bezeq the Israel Telecommunication Corp. Ltd., Israel
14., Booking.com B. V., Netherlands
15., C Mer Industries Ltd., Israel
16., Café Café Israel Ltd., Israel
17., Caliber 3, Israel
18., Cellcom Israel Ltd., Israel
19., Cherriessa Ltd., Israel
20., Chish Nofei Israel Ltd., Israel
21., Comasco Ltd., Israel
22., D.B.S Satellite Services Ltd.5, Israel
23., Delek Group Ltd., Israel
24., Delta Israel Brands Ltd.6, Israel
25., Dor Alon Energy in Israel 1988 Ltd., Israel
26., Egis Rail , France
27., Egged Transportation Ltd.7, Israel
28., Electra Afikim8, Israel
29., EPR Systems Ltd., Israel
30., Extal Ltd., Israel
31., Expedia Group Inc., United States of America
32., Field Produce Ltd., Israel
33., Field Produce Marketing Ltd., Israel
34., First International Bank of Israel Ltd., Israel
35., Galshan Shvakim Ltd., Israel
36., Hadiklaim Israel Date Growers Cooperative Ltd., Israel
37., Hot Mobile Ltd., Israel
38., Hot Telecommunications Systems Ltd., Israel
39., Mivne Real Estate (K.D) Ltd.9, Israel
40., Israel Discount Bank Ltd., Israel
41., Israel Railways Corporation Ltd., Israel
42., Italek Ltd., Israel
43., J.C. Bamford Excavators Ltd., United Kingdom of Great Britain and Northern Ireland
44., Kavim Public Transportation Ltd., Israel
45., Lipski Installation and Sanitation Ltd., Israel
46., Matrix IT Ltd., Israel
47., Mayer Davidov Garages Ltd., Israel
48., Mekorot Water Company Ltd., Israel
49., Mercantile Discount Bank Ltd., Israel
50., Merkavim Transportation Technologies Ltd., Israel
51., Mizrahi Tefahot Bank Ltd., Israel
52., Modi’in Ezrachi Group Ltd., Israel
53., Mordechai Aviv Tassiot Beniyah 1973 Ltd., Israel
54., Motorola Solutions Israel Ltd., Israel
55., Naaman Group Ltd., Israel
56., Nof Yam Security Ltd., Israel
57., Ofertex Industries 1997 Ltd., Israel
58., Opodo Ltd., United Kingdom of Great Britain and Northern Ireland
59., Partner Communication Company Ltd., Israel
60., Paz Oil Company Ltd., Israel
61., Pelephone Communications Ltd., Israel
62., Proffimat S. R. Ltd., Israel
63., Rami Levy Chain Stores Hashikma Marketing 2006 Ltd., Israel
64., Rami Levy Hashikma Marketing Communications Ltd, Israel
65., Re/Max Israel, Israel
66., Shalgal Food Ltd., Israel
67., Shapir Engineering and Industry Ltd., Israel
68., Shufersal Ltd., Israel
69., Sonol Israel Ltd., Israel
70., Superbus Ltd., Israel
71., Supergum Industries 1969 Ltd., Israel
72., Tahal Group International B.V., Netherlands
73., TripAdvisor Inc., United States of America
74., Twitoplast Ltd., Israel
75., Unikowsky Maoz Ltd., Israel
76., Zakai Agriculture Know-how and inputs Ltd., Israel
77., ZF Development and Construction, Israel
78., ZMH Hammerman Ltd., Israel
79., Zriha Hlavin Industries Ltd., Israel  