Business enterprise,  State concerned
Airbnb Inc., United States of America
American Israeli Gas Corporation Inc., Israel
Amir Marketing and Investment in Agriculture Inc., Israel
Amos Hadar Properties and Investments Ltd., Israel
Angel Bakeries, Israel
Archivists Ltd., Israel
Ariel Properties Group, Israel
Ashtrom Industries Ltd., Israel
Bank Hapoalim B.M., Israel
Bank Leumi Le-Israel B. M., Israel
Bank of Jerusalem Ltd., Israel
Beit Haarchiv Ltd., Israel
Bezeq the Israel Telecommunication Corp. Ltd., Israel
Booking.com B. V., Netherlands
C Mer Industries Ltd., Israel
Café Café Israel Ltd., Israel
Caliber 3, Israel
Cellcom Israel Ltd., Israel
Cherriessa Ltd., Israel
Chish Nofei Israel Ltd., Israel
Comasco Ltd., Israel
D.B.S Satellite Services Ltd.5, Israel
Delek Group Ltd., Israel
Delta Israel Brands Ltd.6, Israel
Dor Alon Energy in Israel 1988 Ltd., Israel
Egis Rail , France
Egged Transportation Ltd., Israel
Electra Afikim, Israel
EPR Systems Ltd., Israel
Extal Ltd., Israel
Expedia Group Inc., United States of America
Field Produce Ltd., Israel
Field Produce Marketing Ltd., Israel
First International Bank of Israel Ltd., Israel
Galshan Shvakim Ltd., Israel
Hadiklaim Israel Date Growers Cooperative Ltd., Israel
Hot Mobile Ltd., Israel
Hot Telecommunications Systems Ltd., Israel
Mivne Real Estate (K.D) Ltd., Israel
Israel Discount Bank Ltd., Israel
Israel Railways Corporation Ltd., Israel
Italek Ltd., Israel
J.C. Bamford Excavators Ltd., United Kingdom of Great Britain and Northern Ireland
Kavim Public Transportation Ltd., Israel
Lipski Installation and Sanitation Ltd., Israel
Matrix IT Ltd., Israel
Mayer Davidov Garages Ltd., Israel
Mekorot Water Company Ltd., Israel
Mercantile Discount Bank Ltd., Israel
Merkavim Transportation Technologies Ltd., Israel
Mizrahi Tefahot Bank Ltd., Israel
Modi’in Ezrachi Group Ltd., Israel
Mordechai Aviv Tassiot Beniyah 1973 Ltd., Israel
Motorola Solutions Israel Ltd., Israel
Naaman Group Ltd., Israel
Nof Yam Security Ltd., Israel
Ofertex Industries 1997 Ltd., Israel
Opodo Ltd., United Kingdom of Great Britain and Northern Ireland
Partner Communication Company Ltd., Israel
Paz Oil Company Ltd., Israel
Pelephone Communications Ltd., Israel
Proffimat S. R. Ltd., Israel
Rami Levy Chain Stores Hashikma Marketing 2006 Ltd., Israel
Rami Levy Hashikma Marketing Communications Ltd, Israel
Re/Max Israel, Israel
Shalgal Food Ltd., Israel
Shapir Engineering and Industry Ltd., Israel
Shufersal Ltd., Israel
Sonol Israel Ltd., Israel
Superbus Ltd., Israel
Supergum Industries 1969 Ltd., Israel
Tahal Group International B.V., Netherlands
TripAdvisor Inc., United States of America
Twitoplast Ltd., Israel
Unikowsky Maoz Ltd., Israel
Zakai Agriculture Know-how and inputs Ltd., Israel
ZF Development and Construction, Israel
ZMH Hammerman Ltd., Israel
Zriha Hlavin Industries Ltd., Israel  